CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"9006","GEOG 308","2","The Urbanizing World","3","","Lec","TR","0930-1045","LUTR 167","Finn, John","0","Closed",
"8642","GERM 102","1","Beginning German II","3","","Lec","MWF","0900-0950","MCM 207","McInnis, Brian","1","Open",
"8643","GERM 102","2","Beginning German II","3","","Lec","MWF","1400-1450","MCM 216","McInnis, Brian","6","Open",
"8644","GERM 102","3","Beginning German II","3","","Lec","MWF","1500-1550","MCM 216","McInnis, Brian","4","Open",
"8645","GERM 202","1","Intermediate German II","3","  LLFL","Lec","MWF","0900-0950","MCM 160","Deiulio, Laura","4","Open",
"8646","GERM 303","1","German Composition","3","  LLFL","Lec","MWF","1000-1050","MCM 207","McInnis, Brian","10","Open",
"8647","GERM 352","1","Studies in the Modern Era","3","  LLFL","Lec","MWF","1200-1250","MCM 162","Deiulio, Laura","9","Open",
"8648","GREK 101","1","Beginning Ancient Greek I","3","","Lec","MWF","1200-1250","MCM 212","Padilla, Mark","0","Closed",
"9303","GUIT 432","1","Apl Music Major: Guitar","1","","Lab","","","ARR ","Boyles, John","0","Closed",
"9304","GUIT 434","1","Applied Music: Guitar","2","","Lab","","","ARR ","Sully, Ballard","0","Closed",
"9343","HARP 334","1","Applied Music: Harp","2","","Lab","","","ARR ","Pike, Anastasia","1","Open",
"8463","HIST 111","1","Ancient and Medieval World","3","  AIGM","Lec","TR","1500-1615","MCM 360","Santoro, A.","10","Open",
"8464","HIST 111","2","Ancient and Medieval World","3","  AIGM","Lec","TR","1630-1745","MCM 360","Santoro, A.","16","Open",
"8465","HIST 111","3","Ancient and Medieval World","3","  AIGM","Lec","MWF","1100-1150","MCM 112","Hamilton, Thomas","0","Closed",
"8466","HIST 111","4","Ancient and Medieval World","3","  AIGM","Lec","TR","0930-1045","MCM 310","Hyland, John","0","Closed",
"8467","HIST 111","5","Ancient and Medieval World","3","  AIGM","Lec","TR","1100-1215","MCM 310","Hyland, John","1","Open",
"8468","HIST 112","1","The Modern World","3","  AIGM","Lec","TR","1630-1745","MCM 312","Black, Sara","0","Closed",
"8469","HIST 112","2","The Modern World","3","  AIGM","Lec","TR","1500-1615","MCM 312","Black, Sara","0","Closed",
"8470","HIST 112","3","The Modern World","3","  AIGM","Lec","MWF","0900-0950","MCM 310","Harshman, Deirdre","8","Open",
"8471","HIST 112","4","The Modern World","3","  AIGM","Lec","MWF","1300-1350","MCM 114","Stewart, Nathan","8","Open",
"8472","HIST 112","5","The Modern World","3","  AIGM","Lec","MWF","1400-1450","MCM 310","Harshman, Deirdre","17","Open",
"8473","HIST 112","6","The Modern World","3","  AIGM","Lec","TR","0800-0915","MCM 312","Stokes, Brian","2","Open",
"8474","HIST 121","1","Early America to the Civil War","3","  AIDE  ","Lec","MWF","0800-0850","MCM 310","Phillips, Rolande","15","Open",
"8475","HIST 121","2","Early America to the Civil War","3","  AIDE  ","Lec","MWF","0900-0950","MCM 312","Hamilton, Phillip","1","Open",
"8476","HIST 121","3","Early America to the Civil War","3","  AIDE  ","Lec","MWF","1000-1050","MCM 312","Hamilton, Phillip","0","Closed",
"8477","HIST 121","4","Early America to the Civil War","3","  AIDE  ","Lec","MWF","1100-1150","MCM 310","Shuck-Hall, Sheri","1","Open",
"8478","HIST 121","5","Early America to the Civil War","3","  AIDE  ","Lec","MWF","1200-1250","MCM 312","Wood, Elizabeth","3","Open",
"8479","HIST 121","6","Early America to the Civil War","3","  AIDE  ","Lec","MWF","1300-1350","MCM 312","Wood, Elizabeth","17","Open",
"8480","HIST 121","7","Early America to the Civil War","3","  AIDE  ","Lec","TR","0930-1045","MCM 312","Harshman, Matthew","0","Closed",
"8481","HIST 122","1","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","TR","1100-1215","MCM 312","Harshman, Matthew","1","Open",
"8482","HIST 122","2","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","0800-0850","MCM 362","Stokes, Brian","0","Closed",
"8483","HIST 122","3","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1100-1150","MCM 312","Sellars, Nigel","0","Closed",
"8484","HIST 122","4","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1200-1250","MCM 310","Allison, James","0","Closed",
"8485","HIST 122","5","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1300-1350","MCM 360","Sellars, Nigel","1","Open",
"8488","HIST 211","1","Comic Books &amp; American Society","3","","Lec","MWF","1200-1250","MCM 160","Puaca, Brian","0","Closed",
"8486","HIST 214","1","The Black Death","3","  AIWT","Lec","TR","0930-1045","MCM 316","Cartwright, Charlotte","0","Closed",
"8487","HIST 214","2","The Black Death","3","  AIWT","Lec","TR","1330-1445","MCM 316","Cartwright, Charlotte","0","Closed",
"9199","HIST 216","1","Isr/Pal:One Land, 2 Peoples","3","  AIGM","Lec","TR","1500-1615","MCM 216","Stenner, David","4","Open",
"9200","HIST 216","2","Isr/Pal:One Land, 2 Peoples","3","  AIGM","Lec","TR","1630-1745","MCM 216","Stenner, David","9","Open",
"8489","HIST 300","1","WI: Hist Mthd &amp; Historiography","3","  WI","Lec","TR","1330-1445","MCM 200D","Xu, Xiaoqun","0","Closed",
"8490","HIST 300","2","WI: Hist Mthd &amp; Historiography","3","  WI","Lec","TR","1630-1745","MCM 310","Xu, Xiaoqun","0","Closed",
"8491","HIST 305","1","Hist Gender &amp; Sexuality in US","3","","Lec","TR","0930-1045","MCM 357","Puaca, Laura","0","Closed",
"8492","HIST 312","1","Ancient Egypt","3","","Lec","W","1800-2100","MCM 101","Santoro, A.","0","Closed",
"8493","HIST 320","1","Imperial Russian History","3","","Lec","MWF","1100-1150","MCM 307","Harshman, Deirdre","0","Closed",
"8494","HIST 346","1","Hist of the American Frontier","3","","Lec","MWF","1300-1350","MCM 310","Allison, James","0","Closed",
"8495","HIST 347","1","Atlntc Wrld Encountr 1400-1700","3","","Lec","MWF","1400-1450","MCM 312","Connell, William","0","Closed",
"8496","HIST 348","1","Intro-Historical Archaeology","3","","Lec","F","1400-1700","MCM 300B","Outlaw, Alain","6","Open",
"8497","HIST 355","1","Civil War and Reconstruction","3","","Lec","MWF","1200-1250","MCM 112","Hamilton, Phillip","0","Closed",
"8498","HIST 356","1","US-Gilded Age/Progressive Era","3","","Lec","MWF","1500-1550","MCM 310","Sellars, Nigel","1","Open",
"8499","HIST 368","1","Modern Japanese History","3","","Lec","TR","1100-1215","MCM 314","Xu, Xiaoqun","1","Open",
