CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8199","FINC 422","ON1","Intermediate Corporate Finance","3","","Lec","TR","0800-0915","SYN ","Hall, Thomas","0","Closed",
"8200","FINC 422","ON2","Intermediate Corporate Finance","3","","Lec","TR","0930-1045","SYN ","Hall, Thomas","0","Closed",
"9418","FINC 422","ON3","Intermediate Corporate Finance","3","","Lec","TR","1800-1915","SYN ","Hall, Thomas","0","Closed",
"9271","FINC 424","ON1","Portfolio Management","3","","Lec","MWF","0800-0850","SYN ","Mella-Barahona, Javier","10","Open",
"8201","FINC 425","1","Risk Management","3","","Lec","MWF","0800-0850","LUTR 347","Rahim, Niazur","8","Open",
"8202","FINC 425","2","Risk Management","3","","Lec","MWF","0900-0950","LUTR 347","Rahim, Niazur","0","Closed",
"9447","FINC 499","1","IND ST: Finc Statemnt Analysis","1","","Ind","","","ARR ","Espahbodi, Reza","0","Closed",
"9243","FINC 500","ON1","Adv Finc Statement Analysis","3","","Lec","MW","1800-1915","LUTR 142; SYN ","Espahbodi, Reza","5","Open",
"9244","FINC 532","1","Behavioral Finc &amp; Prof Relatns","3","","Lec","TR","1800-1915","LUTR 142","Ji, Xiuqing","5","Open",
"9245","FINC 562","1","Entrepreneurial Finance","3","","Lec","TR","1630-1745","LUTR 142","Donaldson, William","1","Open",
"9246","FINC 570","ON1","Data Management &amp; Analytics","3","","Lec","MW","1600-1715","LUTR 142; SYN ","Shaltayev, Dmitriy","4","Open",
"9247","FINC 572","1","Cybr Security for Finc &amp; Acct","3","","Lec","MW","1930-2045","LUTR 142","Rogers, Deborah","5","Open",
"9330","FLUT 231","1","Applied Music: Flute","1","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"9331","FLUT 331","1","Applied Music: Flute","1","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"9332","FLUT 333","1","Applied Music: Flute","2","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"9333","FLUT 433","1","Applied Music: Flute","2","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"8656","FNAR 117","1","3D Design","3","","Lab","MW","0800-1020","FERG T161","Myers, Jennifer","0","Closed",
"8657","FNAR 117","2","3D Design","3","","Lab","MW","1400-1620","FERG T161","Myers, Jennifer","1","Open",
